iter	PRAUC	Logloss
0	0.7432673382	0.6840988245
1	0.7555610361	0.675313307
2	0.7594697629	0.6682114724
3	0.7685457937	0.6608517513
4	0.7690005211	0.6548411187
5	0.7687880796	0.6496994804
6	0.7725672075	0.6447335306
7	0.7753906332	0.6391530978
8	0.7752396589	0.6350010107
9	0.7775216297	0.6301923502
10	0.7772252403	0.6271673621
11	0.7789164866	0.6235014618
12	0.779258902	0.6212525127
13	0.7807455978	0.6181340469
14	0.7831998737	0.6147339985
15	0.7836769809	0.6123929091
16	0.7852443377	0.6096778801
17	0.7883514211	0.6070834273
18	0.7893370873	0.6050620961
19	0.7911331878	0.6027492455
20	0.7921899858	0.6008959975
21	0.7925048849	0.5993639257
22	0.7924627945	0.5976352126
23	0.7930173523	0.5951982467
24	0.7934154816	0.5935010224
25	0.7944241354	0.5913485728
26	0.7954083855	0.5898112823
27	0.7957213375	0.5882258103
28	0.7962467158	0.5870738943
29	0.7966725305	0.5858456493
30	0.7969271445	0.5844070811
31	0.7977095018	0.5831420227
32	0.7979785355	0.5822952937
33	0.7977876566	0.5812871304
34	0.7983586398	0.5799631283
35	0.7986116493	0.5791876311
36	0.798929701	0.5779269451
37	0.7997826809	0.5767858235
38	0.8002380735	0.575400581
39	0.8008999236	0.5744912105
40	0.8011577975	0.5736162777
41	0.80156914	0.5727512494
42	0.8016796962	0.5720762845
43	0.8020303967	0.571218706
44	0.8022946463	0.5704808765
45	0.8026554873	0.5698003027
46	0.8029842374	0.5691771984
47	0.8038002313	0.5680677238
48	0.8041396225	0.5671171023
49	0.8041972538	0.5666699051
50	0.8045701952	0.5659006485
51	0.8049105536	0.5653146628
52	0.8049372845	0.5649124145
53	0.8052095776	0.5642610734
54	0.8060694129	0.5633069886
55	0.8067087088	0.5627288357
56	0.8069761392	0.5622070971
57	0.8074198961	0.5614159722
58	0.8075933592	0.5608905347
59	0.8078198816	0.5602283567
60	0.8085494667	0.5595297529
61	0.8093248962	0.5587139959
62	0.8095788974	0.5581762631
63	0.8100176995	0.5575734389
64	0.8102497865	0.5568608236
65	0.810410883	0.5564964841
66	0.8105785302	0.5561495817
67	0.8107581499	0.5556928726
68	0.8111468047	0.5550669371
69	0.8112977607	0.5547263523
70	0.8114404494	0.5541805365
71	0.8115603766	0.5537086241
72	0.8116673073	0.5533495251
73	0.8120560902	0.5527950059
74	0.8121981364	0.5523128212
75	0.8127966151	0.5515618781
76	0.8128298548	0.5510883261
77	0.8129320624	0.5508831333
78	0.813229909	0.5502506499
79	0.8133841601	0.5499616168
80	0.8137946763	0.5494837482
81	0.8139347373	0.5489810497
82	0.8141436061	0.5486050571
83	0.8142573263	0.5483772436
84	0.8146712344	0.5479650356
85	0.8147649425	0.5475328537
86	0.8149412903	0.5471748908
87	0.8153961637	0.5466890255
88	0.8157878154	0.5461870341
89	0.8159310531	0.5459217468
90	0.8161506978	0.5455622235
91	0.8166249744	0.5449848767
92	0.8170997485	0.544428723
93	0.8171928688	0.5442334938
94	0.8172453247	0.5440035783
95	0.8174988096	0.5436445538
96	0.8176865262	0.5431992205
97	0.8181600779	0.5425974484
98	0.8182556033	0.54223853
99	0.818526724	0.5418809398
100	0.8187112314	0.5416432114
101	0.8189137753	0.541328355
102	0.8190310751	0.5409379397
103	0.819215128	0.5406700203
104	0.8193713896	0.5403415668
105	0.8198986299	0.539682639
106	0.8201386988	0.5393677665
107	0.8202777315	0.5389052384
108	0.8204169199	0.5386690403
109	0.8208670088	0.5380813743
110	0.8209328354	0.5378795343
111	0.8211749018	0.5375050282
112	0.8215269893	0.537182721
113	0.8216029194	0.5369926698
114	0.8217630343	0.5367294499
115	0.8219453411	0.5364465347
116	0.8222658577	0.5361210229
117	0.8225853764	0.5357174916
118	0.8226770739	0.5355640422
119	0.8227474331	0.5354301068
120	0.8228015802	0.5353097774
121	0.822981724	0.5350928463
122	0.8231326657	0.5349407221
123	0.8233667157	0.5346812557
124	0.8236175405	0.5342639424
125	0.8237220892	0.533982827
126	0.8238969252	0.5337493295
127	0.8239953435	0.533573406
128	0.8241643641	0.5333358241
129	0.8241989081	0.5332325149
130	0.8243701597	0.5330321157
131	0.8244793794	0.5327733851
132	0.8245759679	0.5325998777
133	0.8248511214	0.5321883461
134	0.8249949833	0.5319291755
135	0.8251602537	0.5317036716
136	0.8252925158	0.5313964696
137	0.8254438894	0.5311949037
138	0.8256553913	0.5308363532
139	0.8258790325	0.5305279353
140	0.8261687936	0.5302048876
141	0.8262780126	0.5299194361
142	0.8263782976	0.5295815634
143	0.8263847666	0.5295441826
144	0.8266155902	0.529240247
145	0.8267301747	0.5291016901
146	0.8269648264	0.5288059481
147	0.8270209414	0.5286773779
148	0.8271532484	0.5285445215
149	0.8276021982	0.5280523388
150	0.827684398	0.5279106805
151	0.8279314423	0.527577488
152	0.8280908341	0.5273796347
153	0.8282597178	0.5271106232
154	0.8283069444	0.5269634687
155	0.8284455434	0.526797406
156	0.8286227299	0.5265224437
157	0.8288142754	0.526250981
158	0.8289205493	0.5260281649
159	0.8291630312	0.5257232332
160	0.8293025043	0.5255331917
161	0.829411946	0.5253767975
162	0.829568435	0.5250786048
163	0.8296990019	0.5247172763
164	0.8298601586	0.5244869315
165	0.8300240444	0.5242017822
166	0.8301342966	0.524063019
167	0.8302657686	0.5238603856
168	0.8303214281	0.523754023
169	0.8304753732	0.5234972635
170	0.8307664107	0.5231883171
171	0.831009226	0.5228314589
172	0.831069698	0.5227406287
173	0.8312010475	0.5226044859
174	0.8313795538	0.5223489693
175	0.8315844401	0.5220914115
176	0.831660633	0.5219813361
177	0.8318231038	0.5217415754
178	0.8319122888	0.5215677774
179	0.8320292135	0.5214460082
180	0.8321445026	0.5213346262
181	0.8322314943	0.5212336113
182	0.832385658	0.5209929176
183	0.832528383	0.5208308431
184	0.8328463332	0.5204548785
185	0.8329721355	0.520304037
186	0.8331436372	0.5200684484
187	0.8332694484	0.5198461149
188	0.833390222	0.5196824383
189	0.8335949033	0.5193981115
190	0.8337727951	0.5191715539
191	0.833923741	0.5189214632
192	0.8340826275	0.5187742855
193	0.8342866208	0.5185326648
194	0.8344078584	0.5183914657
195	0.8345148233	0.5182606217
196	0.8345877378	0.5181314222
197	0.8346928801	0.5179893443
198	0.8348187024	0.5176796208
