iter	Passed	Remaining
0	62	62617
1	67	33475
2	70	23495
3	74	18508
4	78	15599
5	81	13567
6	86	12300
7	90	11247
8	95	10530
9	99	9862
10	104	9379
11	109	8989
12	113	8649
13	118	8316
14	122	8051
15	127	7860
16	131	7631
17	136	7451
18	142	7341
19	146	7159
20	150	7007
21	154	6867
22	158	6727
23	162	6624
24	166	6511
25	170	6404
26	174	6306
27	179	6229
28	183	6153
29	187	6072
30	191	6000
31	196	5935
32	200	5880
33	204	5811
34	209	5778
35	214	5745
36	219	5704
37	223	5662
38	227	5611
39	231	5567
40	235	5517
41	240	5478
42	244	5436
43	248	5400
44	252	5358
45	256	5317
46	260	5276
47	264	5245
48	268	5210
49	272	5174
50	276	5141
51	280	5113
52	283	5072
53	287	5042
54	292	5018
55	297	5009
56	301	4987
57	305	4961
58	309	4934
59	313	4911
60	317	4890
61	321	4866
62	325	4841
63	329	4819
64	333	4799
65	337	4776
66	341	4755
67	345	4735
68	349	4721
69	353	4700
70	358	4688
71	362	4669
72	366	4653
73	370	4636
74	374	4622
75	379	4611
76	383	4600
77	388	4590
78	392	4578
79	397	4569
80	401	4556
81	407	4566
82	416	4600
83	421	4597
84	429	4628
85	438	4659
86	444	4659
87	465	4821
88	479	4910
89	486	4916
90	490	4900
91	495	4887
92	499	4875
93	504	4859
94	508	4845
95	512	4826
96	516	4807
97	520	4790
98	524	4775
99	528	4758
100	532	4740
101	536	4724
102	540	4708
103	544	4690
104	548	4675
105	552	4658
106	556	4643
107	560	4629
108	564	4614
109	569	4603
110	573	4590
111	577	4576
112	581	4560
113	585	4546
114	589	4536
115	593	4525
116	598	4513
117	601	4499
118	606	4487
119	610	4474
120	614	4464
121	619	4455
122	623	4442
123	626	4428
124	631	4420
125	635	4408
126	640	4399
127	644	4388
128	648	4376
129	652	4365
130	656	4355
131	661	4348
132	665	4338
133	669	4328
134	674	4319
135	678	4309
136	683	4302
137	688	4297
138	692	4291
139	697	4286
140	702	4280
141	707	4273
142	712	4268
143	716	4257
144	720	4249
145	724	4240
146	729	4231
147	733	4221
148	737	4214
149	742	4207
150	747	4202
151	752	4195
152	756	4188
153	760	4178
154	765	4172
155	769	4163
156	774	4156
157	778	4147
158	783	4141
159	787	4135
160	791	4125
161	796	4120
162	800	4112
163	805	4106
164	809	4097
165	814	4093
166	819	4086
167	823	4079
168	827	4069
169	832	4062
170	835	4052
171	840	4046
172	844	4036
173	848	4029
174	853	4021
175	857	4012
176	861	4004
177	865	3996
178	869	3989
179	874	3983
180	878	3974
181	882	3966
182	886	3959
183	891	3952
184	896	3947
185	900	3940
186	905	3935
187	909	3926
188	913	3919
189	917	3911
190	921	3904
191	925	3894
192	929	3888
193	933	3879
194	937	3871
195	941	3862
196	945	3855
197	949	3846
198	953	3837
199	957	3829
200	962	3824
201	966	3816
202	970	3810
203	974	3803
204	979	3798
205	983	3792
206	988	3785
207	992	3778
208	996	3771
209	1000	3763
210	1004	3755
211	1008	3748
212	1012	3741
213	1016	3733
214	1020	3727
215	1024	3719
216	1028	3712
217	1033	3705
218	1037	3699
219	1041	3692
220	1045	3686
221	1050	3679
222	1054	3672
223	1058	3666
224	1062	3660
225	1066	3653
226	1070	3645
227	1074	3639
228	1079	3633
229	1083	3626
230	1088	3622
231	1092	3615
232	1096	3608
233	1099	3600
234	1104	3594
235	1108	3587
236	1112	3583
237	1117	3579
238	1121	3572
239	1126	3565
240	1130	3559
241	1134	3554
242	1138	3547
243	1142	3541
244	1147	3535
245	1151	3527
246	1154	3520
247	1158	3513
248	1162	3506
249	1166	3500
250	1171	3495
251	1175	3490
252	1180	3484
253	1184	3477
254	1188	3470
255	1192	3464
256	1196	3457
257	1199	3450
258	1204	3445
259	1207	3437
260	1212	3432
261	1216	3426
262	1220	3419
263	1224	3414
264	1229	3408
265	1233	3402
266	1237	3397
267	1241	3392
268	1246	3386
269	1250	3380
270	1254	3373
271	1259	3370
272	1264	3367
273	1269	3364
274	1275	3362
275	1280	3359
276	1285	3355
277	1290	3351
278	1294	3346
279	1299	3342
280	1305	3340
281	1309	3334
282	1313	3329
283	1318	3324
284	1323	3320
285	1327	3315
286	1333	3313
287	1338	3307
288	1342	3302
289	1346	3296
290	1350	3290
291	1355	3285
292	1359	3280
293	1363	3275
294	1369	3271
295	1374	3268
296	1378	3263
297	1383	3259
298	1387	3253
299	1392	3249
300	1397	3244
301	1403	3242
302	1409	3242
303	1414	3239
304	1419	3234
305	1423	3228
306	1428	3223
307	1431	3217
308	1435	3211
309	1440	3206
310	1444	3200
311	1448	3194
312	1452	3188
313	1456	3182
314	1460	3176
315	1465	3171
316	1468	3164
317	1473	3159
318	1477	3154
319	1481	3148
320	1485	3142
321	1489	3136
322	1493	3130
323	1497	3125
324	1501	3118
325	1506	3114
326	1510	3108
327	1515	3104
328	1519	3098
329	1523	3093
330	1527	3087
331	1531	3080
332	1535	3074
333	1539	3069
334	1543	3063
335	1547	3058
336	1551	3052
337	1555	3046
338	1559	3041
339	1563	3035
340	1567	3029
341	1571	3023
342	1575	3018
343	1579	3012
344	1583	3006
345	1587	3000
346	1591	2995
347	1595	2989
348	1599	2984
349	1603	2977
350	1607	2972
351	1611	2967
352	1615	2961
353	1619	2955
354	1623	2950
355	1627	2944
356	1631	2938
357	1635	2933
358	1639	2927
359	1643	2921
360	1647	2915
361	1651	2910
362	1655	2904
363	1659	2899
364	1663	2893
365	1667	2887
366	1671	2883
367	1675	2877
368	1679	2872
369	1684	2867
370	1688	2862
371	1692	2856
372	1696	2851
373	1700	2846
374	1704	2840
375	1708	2835
376	1712	2830
377	1716	2824
378	1720	2819
379	1724	2813
380	1728	2808
381	1732	2802
382	1736	2796
383	1740	2791
384	1744	2786
385	1749	2782
386	1753	2777
387	1757	2772
388	1762	2767
389	1766	2763
390	1770	2757
391	1774	2752
392	1779	2748
393	1783	2743
394	1787	2737
395	1791	2733
396	1797	2729
397	1801	2724
398	1805	2719
399	1809	2714
400	1813	2709
401	1818	2705
402	1823	2700
403	1828	2696
404	1833	2693
405	1839	2691
406	1844	2688
407	1850	2684
408	1854	2679
409	1859	2675
410	1863	2670
411	1868	2666
412	1873	2662
413	1878	2658
414	1883	2655
415	1888	2650
416	1892	2645
417	1896	2640
418	1901	2636
419	1905	2631
420	1910	2626
421	1913	2621
422	1918	2616
423	1922	2611
424	1926	2606
425	1930	2601
426	1934	2596
427	1938	2590
428	1942	2585
429	1946	2580
430	1950	2575
431	1954	2570
432	1958	2565
433	1962	2559
434	1967	2555
435	1971	2550
436	1976	2545
437	1980	2541
438	1984	2536
439	1988	2531
440	1992	2525
441	1996	2520
442	2000	2515
443	2004	2510
444	2008	2505
445	2012	2499
446	2016	2495
447	2021	2490
448	2025	2485
449	2029	2480
450	2033	2475
451	2037	2470
452	2041	2465
453	2045	2459
454	2049	2454
